intervention,sector,short,loss
VHI_80_SH_80_30,61,education,27610.3647916071
VHI_80_SH_80_45,61,education,38579.3325442866
VHI_80_SH_80_60,61,education,50769.8955514749
VHI_90_SH_90_30,61,education,28979.5334328354
VHI_90_SH_90_45,61,education,42136.7350036599
VHI_90_SH_90_60,61,education,55649.4508520768
none,62,health,32258.5624043651
VHI_60_SH_60_30,62,health,187768.06449722
VHI_60_SH_60_45,62,health,266305.3346264
VHI_60_SH_60_60,62,health,342323.211183053
VHI_70_SH_70_30,62,health,203346.456869289
VHI_70_SH_70_45,62,health,280573.586962068
VHI_70_SH_70_60,62,health,359219.196897629
VHI_80_SH_80_30,62,health,209886.984526681
VHI_80_SH_80_45,62,health,295523.693247984
VHI_80_SH_80_60,62,health,386365.089406996
VHI_90_SH_90_30,62,health,220807.100841345
VHI_90_SH_90_45,62,health,316521.664537093
VHI_90_SH_90_60,62,health,413737.765483581
none,71,recreation,2264.50762815315
VHI_60_SH_60_30,71,recreation,13208.1315691366
VHI_60_SH_60_45,71,recreation,18835.8047890349
VHI_60_SH_60_60,71,recreation,24283.6428207791
VHI_70_SH_70_30,71,recreation,14779.0536746691
VHI_70_SH_70_45,71,recreation,20849.9016037261
VHI_70_SH_70_60,71,recreation,27018.1992429705
VHI_80_SH_80_30,71,recreation,15904.5776317686
VHI_80_SH_80_45,71,recreation,23106.5947846527
VHI_80_SH_80_60,71,recreation,30683.5694349407
VHI_90_SH_90_30,71,recreation,17415.0144595322
VHI_90_SH_90_45,71,recreation,25900.72059229
VHI_90_SH_90_60,71,recreation,34501.8963128465
none,72,accommodation,9054.26251373536
VHI_60_SH_60_30,72,accommodation,64384.6746758658
VHI_60_SH_60_45,72,accommodation,92602.454709121
VHI_60_SH_60_60,72,accommodation,120103.01428568
VHI_70_SH_70_30,72,accommodation,72507.4745411594
VHI_70_SH_70_45,72,accommodation,103367.496167246
VHI_70_SH_70_60,72,accommodation,134702.93445307
VHI_80_SH_80_30,72,accommodation,78679.3730703653
VHI_80_SH_80_45,72,accommodation,114958.325012781
VHI_80_SH_80_60,72,accommodation,152699.331987857
VHI_90_SH_90_30,72,accommodation,86155.729404962
VHI_90_SH_90_45,72,accommodation,127750.653477628
VHI_90_SH_90_60,72,accommodation,169770.510333372
none,81,other services,8463.99417711748
VHI_60_SH_60_30,81,other services,45224.1524356217
VHI_60_SH_60_45,81,other services,64109.3183411504
VHI_60_SH_60_60,81,other services,82340.0415547905
VHI_70_SH_70_30,81,other services,50299.6758077768
VHI_70_SH_70_45,81,other services,70362.4919363125
VHI_70_SH_70_60,81,other services,90844.5071110303
VHI_80_SH_80_30,81,other services,53486.2831052736
VHI_80_SH_80_45,81,other services,77229.0338689352
VHI_80_SH_80_60,81,other services,102346.692791176
VHI_90_SH_90_30,81,other services,58082.9209188241
VHI_90_SH_90_45,81,other services,85941.5514771242
VHI_90_SH_90_60,81,other services,114209.614433391
none,G,government,60211.4074628209
VHI_60_SH_60_30,G,government,297359.081916825
VHI_60_SH_60_45,G,government,419439.305578339
VHI_60_SH_60_60,G,government,536809.282307316
VHI_70_SH_70_30,G,government,324784.098109793
VHI_70_SH_70_45,G,government,444843.363308156
VHI_70_SH_70_60,G,government,568084.547337157
VHI_80_SH_80_30,G,government,328900.610520624
VHI_80_SH_80_45,G,government,459504.253405332
VHI_80_SH_80_60,G,government,599539.471063061
VHI_90_SH_90_30,G,government,340511.376767706
VHI_90_SH_90_45,G,government,483928.43067181
VHI_90_SH_90_60,G,government,630017.876255901
