cell,rep,total_infections,averted,shcomp,duration
VHI_80_SH_80_60,8,6840473,108779497,80,60
VHI_80_SH_80_60,9,3811303,112387378,80,60
VHI_80_SH_80_60,10,3851154,112339887,80,60
VHI_80_SH_80_60,11,4023160,111584183,80,60
VHI_80_SH_80_60,12,3873728,112324263,80,60
VHI_80_SH_80_60,13,3831641,112383755,80,60
VHI_80_SH_80_60,14,3875945,112327804,80,60
VHI_80_SH_80_60,15,4025492,112190226,80,60
VHI_90_SH_90_30,1,10226118,105980089,90,30
VHI_90_SH_90_30,2,8149088,108054100,90,30
VHI_90_SH_90_30,3,10725629,104891812,90,30
VHI_90_SH_90_30,4,13691689,102506024,90,30
VHI_90_SH_90_30,5,9521606,106692867,90,30
VHI_90_SH_90_30,6,8536705,107678773,90,30
VHI_90_SH_90_30,7,11234323,104955873,90,30
VHI_90_SH_90_30,8,8113832,107506138,90,30
VHI_90_SH_90_30,9,14856209,101342472,90,30
VHI_90_SH_90_30,10,7925259,108265782,90,30
VHI_90_SH_90_30,11,11484679,104122664,90,30
VHI_90_SH_90_30,12,21222009,94975982,90,30
VHI_90_SH_90_30,13,14066798,102148598,90,30
VHI_90_SH_90_30,14,9269394,106934355,90,30
VHI_90_SH_90_30,15,16631374,99584344,90,30
VHI_90_SH_90_45,1,3522764,112683443,90,45
VHI_90_SH_90_45,2,3431056,112772132,90,45
VHI_90_SH_90_45,3,3643375,111974066,90,45
VHI_90_SH_90_45,4,3401616,112796097,90,45
VHI_90_SH_90_45,5,4517448,111697025,90,45
VHI_90_SH_90_45,6,3817815,112397663,90,45
VHI_90_SH_90_45,7,3701069,112489127,90,45
VHI_90_SH_90_45,8,6799633,108820337,90,45
VHI_90_SH_90_45,9,3470732,112727949,90,45
VHI_90_SH_90_45,10,3600696,112590345,90,45
VHI_90_SH_90_45,11,4150788,111456555,90,45
VHI_90_SH_90_45,12,3695113,112502878,90,45
VHI_90_SH_90_45,13,3528366,112687030,90,45
VHI_90_SH_90_45,14,6930690,109273059,90,45
VHI_90_SH_90_45,15,3545436,112670282,90,45
VHI_90_SH_90_60,1,3780967,112425240,90,60
VHI_90_SH_90_60,2,3414535,112788653,90,60
VHI_90_SH_90_60,3,3514874,112102567,90,60
VHI_90_SH_90_60,4,3716097,112481616,90,60
VHI_90_SH_90_60,5,3551321,112663152,90,60
VHI_90_SH_90_60,6,3551738,112663740,90,60
VHI_90_SH_90_60,7,3642713,112547483,90,60
VHI_90_SH_90_60,8,3647748,111972222,90,60
VHI_90_SH_90_60,9,3662388,112536293,90,60
VHI_90_SH_90_60,10,3722214,112468827,90,60
VHI_90_SH_90_60,11,3677234,111930109,90,60
VHI_90_SH_90_60,12,3541882,112656109,90,60
VHI_90_SH_90_60,13,3522745,112692651,90,60
VHI_90_SH_90_60,14,3546987,112656762,90,60
VHI_90_SH_90_60,15,3665327,112550391,90,60
