intervention,rep,loss,medical_cost
VHI_80_SH_80_60,6,4061289.16835697,24708.287472
VHI_80_SH_80_60,7,4061261.58482038,24596.848855
VHI_80_SH_80_60,8,4067904.30018903,39308.745593
VHI_80_SH_80_60,9,4061303.97178118,24735.718524
VHI_80_SH_80_60,10,4061544.41439694,25147.884152
VHI_80_SH_80_60,11,4061884.46353495,26071.332843
VHI_80_SH_80_60,12,4061633.69450036,25304.922167
VHI_80_SH_80_60,13,4061484.95061827,25000.663022
VHI_80_SH_80_60,14,4061577.67484318,25226.839814
VHI_80_SH_80_60,15,4061912.06728356,26020.703076
VHI_90_SH_90_30,1,2304016.94412951,60328.693692
VHI_90_SH_90_30,2,2301161.3362975,51360.355891
VHI_90_SH_90_30,3,2304796.57158776,61899.014299
VHI_90_SH_90_30,4,2311215.35011452,76773.156599
VHI_90_SH_90_30,5,2302542.47621275,56308.041029
VHI_90_SH_90_30,6,2299830.28673263,50680.439701
VHI_90_SH_90_30,7,2307629.4920363,67400.491459
VHI_90_SH_90_30,8,2297693.93324824,47977.500436
VHI_90_SH_90_30,9,2320102.29007094,92131.628008
VHI_90_SH_90_30,10,2298738.29859251,47326.853943
VHI_90_SH_90_30,11,2311349.78035466,73062.259182
VHI_90_SH_90_30,12,2333840.69700039,126095.042322
VHI_90_SH_90_30,13,2314841.79668821,83694.476903
VHI_90_SH_90_30,14,2303783.97211928,57569.828447
VHI_90_SH_90_30,15,2323788.89271146,100366.724177
VHI_90_SH_90_45,1,3339639.23937544,22777.463987
VHI_90_SH_90_45,2,3339404.533711,22328.600936
VHI_90_SH_90_45,3,3339937.01116428,23403.924284
VHI_90_SH_90_45,4,3339299.86628037,22056.173197
VHI_90_SH_90_45,5,3342616.72420144,28744.489869
VHI_90_SH_90_45,6,3340538.7631621,24754.422763
VHI_90_SH_90_45,7,3340198.14297427,23940.925265
VHI_90_SH_90_45,8,3348682.87393333,42670.611687
VHI_90_SH_90_45,9,3339538.64881574,22545.286331
VHI_90_SH_90_45,10,3339898.03275518,23391.758542
VHI_90_SH_90_45,11,3340972.45350665,25838.252864
VHI_90_SH_90_45,12,3340202.92678879,24011.811679
VHI_90_SH_90_45,13,3339715.55181448,22928.388852
VHI_90_SH_90_45,14,3349264.17105289,43678.075367
VHI_90_SH_90_45,15,3339742.59767879,23033.57117
VHI_90_SH_90_60,1,4392324.74444518,24546.259566
VHI_90_SH_90_60,2,4391130.14226305,22209.218379
VHI_90_SH_90_60,3,4391354.43558543,22722.526981
VHI_90_SH_90_60,4,4391935.44098423,23991.79828
VHI_90_SH_90_60,5,4391482.72690999,23032.222603
VHI_90_SH_90_60,6,4391531.49772015,22999.490525
VHI_90_SH_90_60,7,4391768.59306729,23566.128568
VHI_90_SH_90_60,8,4391902.384009,23693.578859
VHI_90_SH_90_60,9,4391753.59334937,23612.344288
VHI_90_SH_90_60,10,4392021.89132817,24090.307576
VHI_90_SH_90_60,11,4391907.83881524,23854.582929
VHI_90_SH_90_60,12,4391363.92578389,22806.262073
VHI_90_SH_90_60,13,4391352.60687258,22783.390022
VHI_90_SH_90_60,14,4391507.63735739,23073.862497
VHI_90_SH_90_60,15,4391790.16430845,23658.348324
none,1,383106.031659648,768365.247834
none,2,382290.852225304,768336.822492
none,3,381056.196193568,764368.869312
none,4,382087.727234614,768263.33248
none,5,382997.986093935,768447.33855
none,6,382707.109931678,768416.921523
none,7,382519.451071545,768185.701072
none,8,380999.992944798,764502.30988
none,9,382658.282658341,768293.472236
none,10,382220.431540157,768348.6325
none,11,380619.549933174,764311.840471
none,12,382388.160649518,768369.649969
none,13,382721.326460875,768523.425407
none,14,382386.695471048,768372.587489
none,15,382683.669236673,768503.264965
